site_no,RBI,RBIrank,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,CLASS,AGGECOREGION,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,FLOWYRS_1990_2009,wy00_09
1013500,0.058374539,35,"Fish River near Fort Kent, Maine",2252.7,1,47.237394,-68.582642,ME,Ref,NorthEast,97.42,93.53,3,3,9.67,0.202,10,-2.49,0.269,-2.7,504.7,36.9,0.102,20,10
1021480,0.207970082,300,"Old Stream near Wesley, Maine",76.7,1,44.936944,-67.736111,ME,Ref,NorthEast,115.39,117.13,5.71,5.8,11.7,0.131,11.9,-0.85,0.123,-0.6,554.2,39.5,0.046,11,10
1022500,0.19805382,286,"Narraguagus River at Cherryfield, Maine",573.6,1,44.607972,-67.935242,ME,Ref,NorthEast,120.07,129.56,5.95,6.3,11.9,0.344,12.2,0.06,0.873,1.4,553.1,38.2,0.047,20,10
1029200,0.131512986,183,"Seboeis River near Shin Pond, Maine",444.9,1,46.143056,-68.633611,ME,Ref,NorthEast,102.19,103.24,3.61,4,9.88,0.231,10.4,-2.13,0.216,-1.5,513,36.4,0.07,11,10
1030500,0.113504854,147,"Mattawamkeag River near Mattawamkeag, Maine",3676.2,1,45.500975,-68.305956,ME,Ref,NorthEast,108.19,113.13,4.82,5.4,10.75,0.554,11.7,-1.49,0.251,-1.2,540.8,37.2,0.033,20,10
1031300,0.297187859,489,"Piscataquis River at Blanchard, Maine",304.4,1,45.267222,-69.583889,ME,Ref,NorthEast,119.83,120.93,3.6,4.2,9.57,0.431,11,-2.46,0.268,-1.7,495.8,40.2,0.03,13,10
1031500,0.320449498,545,"Piscataquis River near Dover-Foxcroft, Maine",769,1,45.175008,-69.314697,ME,Ref,NorthEast,118,113.52,4.14,4.9,10.19,0.773,11.5,-2.03,0.514,-1.2,512.5,39.3,0.025,20,10
1037380,0.318040181,537,"Ducktrap River near Lincolnville, Maine",39,1,44.329167,-69.060833,ME,Ref,NorthEast,122.49,123.42,7.22,7.1,12.34,0.209,12.7,1.55,0.236,1.7,586.6,35.9,0.041,11,10
1044550,0.241579978,360,"Spencer Stream near Grand Falls, Maine",499.8,1,45.313611,-70.241667,ME,Ref,NorthEast,110.17,102.12,2.54,3.5,8.95,0.661,9.5,-2.85,0.571,-2.3,465.4,41.2,0.075,10,10
1047000,0.343687749,608,"Carrabassett River near North Anson, Maine",909.1,1,44.8692,-69.955103,ME,Ref,NorthEast,118.86,105.77,3.99,5.6,10.19,1.325,12,-1.86,1.019,-0.6,503.1,39.4,0.052,20,10
1052500,0.368446118,645,"Diamond River near Wentworth Location, NH",383.8,1,44.877394,-71.057494,NH,Ref,NorthEast,119.29,104.14,2.74,3.7,8.85,0.789,9.7,-2.68,0.881,-2.4,467.1,39.3,0.096,20,10
1054200,0.491653972,805,"Wild River at Gilead, Maine",181,1,44.390444,-70.979644,ME,Ref,NorthEast,136.22,105.66,4.81,5.4,9.91,1.502,12.3,-1.46,0.712,-0.6,517.7,39,0.028,20,10
1055000,0.450017142,762,"Swift River near Roxbury, Maine",250.6,1,44.642747,-70.588783,ME,Ref,NorthEast,135.15,118.73,3.81,4.9,9.84,0.803,12,-1.43,0.407,-0.4,498,39.4,0.023,20,10
1057000,0.325813728,561,"Little Androscoggin River near South Paris, Maine",190.9,1,44.303992,-70.539681,ME,Ref,NorthEast,108.33,104.79,5.88,6.1,11.8,0.536,12.5,-0.49,0.297,0,559.3,36.2,0.029,20,10
1064801,0.361990572,636,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",173.4,1,43.830074,-71.287849,NH,Ref,NorthEast,131.38,120.62,5.3,5.8,11.43,1.471,13,-0.76,0.667,0,531.1,37.4,0.035,16,10
1073000,0.339732934,602,"OYSTER RIVER NEAR DURHAM, NH",31.3,1,43.148696,-70.96506,NH,Ref,NorthEast,112.2,110.89,8.2,8.3,14.58,0.065,14.6,2.13,0.169,2.3,618.8,30.4,0.017,20,10
1074520,0.323929342,555,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",297.2,1,44.047567,-71.659803,NH,Ref,NorthEast,145.06,120.55,4.15,5.7,9.14,1.32,12.4,-2.04,0.772,-0.3,491.9,40.6,0.051,16,10
1078000,0.264724232,414,"SMITH RIVER NEAR BRISTOL, NH",222.5,1,43.566463,-71.747857,NH,Ref,NorthEast,112.44,115.14,6.17,6.5,12.45,0.424,13.4,0.74,0.854,0.7,557.2,33.3,0.059,20,10
1105600,0.484260702,797,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",12.7,1,42.190378,-70.944768,MA,Non-ref,NorthEast,118.9,119.5,9.61,9.6,15.01,0.033,15,4.71,0.027,4.8,654.2,23.9,0.064,20,10
1117370,0.229825471,338,QUEEN R AT LIBERTY RD AT LIBERTY RI,50.5,1,41.53899,-71.568673,RI,Ref,NorthEast,126.69,128.85,9.78,9.8,14.81,0.151,15,4.67,0.101,4.6,649.7,25.7,0.047,11,10
